,0,1,2,3,4,5,6,7,8,9,10,11,period_mean,period_std
2017,163082.0,140966.0,141573.0,114999.0,130337.0,152602.0,193753.0,179083.0,178460.0,165064.0,188319.0,221464.0,164141.83333333334,30022.466487110898
2018,173209.0,160203.0,160186.0,142896.0,127959.0,138021.0,166649.0,151997.0,144416.0,150877.0,194987.0,171215.0,156884.58333333334,18202.263497899643
2019,169980.0,134671.0,117593.0,115688.0,126345.0,139291.0,186758.0,149692.0,142779.0,144144.0,144316.0,211975.0,148602.66666666666,28321.861682303217
Season_mean,168757.0,145280.0,139784.0,124527.66666666667,128213.66666666667,143304.66666666666,182386.66666666666,160257.33333333334,155218.33333333334,153361.66666666666,175874.0,201551.33333333334,,
Season_std,5173.086989409709,13301.4549204213,21352.782090397493,15911.17319160763,2008.147736929067,8076.727699590555,14070.825147564494,16344.190109434401,20144.50903679048,10679.034428886038,27532.63661547873,26697.005830866754,,
