,0,1,2,3,4,5,6,7,period_mean,period_std
52,0.0,0.0,6958.0,7357.0,6779.0,6291.0,4383.0,827.0,4074.375,3276.781955233344
1,0.0,6967.0,6468.0,6446.0,6422.0,4604.0,873.0,3183.0,4370.375,2737.468222255218
2,6426.0,5919.0,6888.0,6657.0,6672.0,5116.0,1369.0,,5578.142857142857,1951.1401306732969
3,7425.0,7055.0,7153.0,6777.0,6686.0,5135.0,1144.0,,5910.714285714285,2229.369919527766
4,7320.0,6658.0,6879.0,6378.0,6816.0,5366.0,1365.0,,5826.0,2058.7210431074272
5,7186.0,6486.0,6553.0,6048.0,5958.0,5028.0,997.0,,5465.142857142857,2078.6596986657396
6,6781.0,6390.0,6991.0,7133.0,7418.0,6049.0,1041.0,,5971.857142857143,2222.127091217739
7,8145.0,7822.0,8005.0,7132.0,7070.0,4917.0,946.0,,6291.0,2597.7585209817585
8,7200.0,6601.0,6711.0,6063.0,5971.0,4267.0,850.0,,5380.428571428572,2204.1717913343973
9,6614.0,6010.0,6045.0,5916.0,6160.0,4507.0,870.0,,5160.285714285715,2000.9116850647283
10,6665.0,6303.0,6408.0,5764.0,6040.0,4312.0,851.0,,5191.857142857143,2063.47905478195
11,6747.0,6437.0,6065.0,5671.0,5639.0,4408.0,905.0,,5124.571428571428,2005.0198550257849
12,6432.0,6309.0,6565.0,5656.0,5767.0,4386.0,887.0,,5143.142857142857,2015.8658543804802
13,6375.0,6133.0,6257.0,5805.0,5929.0,4017.0,731.0,,5035.285714285715,2059.424006389951
14,1687.0,7030.0,6682.0,6290.0,5688.0,4308.0,886.0,,4653.0,2470.6420892823253
15,6723.0,6893.0,6380.0,5774.0,5995.0,4120.0,875.0,,5251.428571428572,2136.7104668268976
16,6149.0,5884.0,6301.0,5646.0,5401.0,3636.0,859.0,,4839.428571428572,1966.3955906804763
17,6348.0,5582.0,5478.0,5093.0,5228.0,4217.0,867.0,,4687.571428571428,1800.761029596733
18,6145.0,0.0,7226.0,5696.0,4728.0,3310.0,556.0,,3951.5714285714284,2790.917403360578
19,4806.0,2086.0,5494.0,2277.0,5244.0,3370.0,689.0,,3423.714285714286,1830.128293707458
20,6497.0,5739.0,5624.0,4869.0,4628.0,3052.0,478.0,,4412.428571428572,2047.7043127319319
