,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,period_mean,period_std
2017,37485.0,40932.0,38141.0,37787.0,37408.0,34647.0,33088.0,32603.0,32187.0,31918.0,30746.0,29910.0,29292.0,27656.0,25369.0,28356.0,26500.0,28367.0,30047.0,27130.0,33793.0,30727.0,34111.0,39164.0,39084.0,44042.0,42841.0,48510.0,44525.0,43943.0,40401.0,33914.0,39145.0,42895.0,43982.0,43483.0,39959.0,38636.0,38583.0,38117.0,36999.0,36703.0,37815.0,39095.0,38704.0,47032.0,56641.0,54597.0,56352.0,60650.0,32595.0,,37972.686274509804,7933.608491702112
2018,31780.0,39047.0,41375.0,40782.0,38256.0,41803.0,44037.0,37663.0,36122.0,36343.0,35872.0,36002.0,35247.0,32571.0,36760.0,33876.0,32813.0,27661.0,23966.0,30887.0,28864.0,32287.0,33257.0,33824.0,30689.0,31484.0,37254.0,37031.0,38217.0,38269.0,43080.0,34352.0,28082.0,32455.0,33659.0,36550.0,35377.0,35555.0,32387.0,35426.0,35907.0,32835.0,30416.0,27475.0,32864.0,33209.0,59552.0,64270.0,44151.0,44457.0,47339.0,25995.0,36142.92307692308,7126.701458616133
2019,26663.0,39021.0,41859.0,39237.0,37823.0,36634.0,36313.0,30862.0,27539.0,28603.0,28696.0,26373.0,25804.0,26994.0,27953.0,26847.0,23851.0,25054.0,28193.0,30779.0,30985.0,24696.0,29009.0,31195.0,32994.0,42774.0,45051.0,43453.0,40729.0,38617.0,34069.0,33761.0,29776.0,36376.0,35419.0,35601.0,35176.0,33899.0,31448.0,35725.0,32178.0,30734.0,30626.0,26612.0,31887.0,30344.0,31540.0,46840.0,56602.0,55792.0,57201.0,,34239.35294117647,7882.385760221405
Season_mean,31976.0,39666.666666666664,40458.333333333336,39268.666666666664,37829.0,37694.666666666664,37812.666666666664,33709.333333333336,31949.333333333332,32288.0,31771.333333333332,30761.666666666668,30114.333333333332,29073.666666666668,30027.333333333332,29693.0,27721.333333333332,27027.333333333332,27402.0,29598.666666666668,31214.0,29236.666666666668,32125.666666666668,34727.666666666664,34255.666666666664,39433.333333333336,41715.333333333336,42998.0,41157.0,40276.333333333336,39183.333333333336,34009.0,32334.333333333332,37242.0,37686.666666666664,38544.666666666664,36837.333333333336,36030.0,34139.333333333336,36422.666666666664,35028.0,33424.0,32952.333333333336,31060.666666666668,34485.0,36861.666666666664,49244.333333333336,55235.666666666664,52368.333333333336,53633.0,45711.666666666664,25995.0,,
Season_std,5413.661699810951,1095.8879200599545,2021.4077602832472,1497.7510919152533,424.0318384272577,3694.0281987734384,5626.446510305891,3532.8997060960182,4296.432977870519,3883.242845869931,3696.2447610153376,4870.668571493377,4774.906944992052,3046.8124873929037,5972.090449192254,3700.3225535080046,4604.139695245283,1745.033619542424,3116.7131725585527,2138.60990676966,2472.466582180637,4008.945039949205,2732.679515298736,4060.6280712881517,4337.3792010076,6913.456540207173,4018.5378352496987,5753.01042933176,3175.7052759977587,3180.190141065992,4627.263157994511,306.7393029919707,5958.715829214659,5273.600951911322,5522.482805164117,4302.964365798691,2705.3100253636985,2403.957362350672,3876.8621762107214,1474.931975832558,2527.8431517797935,3027.776576962045,4212.5016716119335,6971.303775717519,3686.2722362842383,8923.497987523353,15401.3325505728,8732.5337865555,7117.517146683479,8309.589219690706,12383.4554682178,,,
