,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,period_mean,period_std
7,794.0,6927.0,5598.0,6915.0,6742.0,5797.0,4379.0,896.0,6959.0,6502.0,6759.0,6977.0,6617.0,2632.0,585.0,6473.0,7239.0,7227.0,6471.0,6100.0,4019.0,688.0,6455.0,6354.0,6471.0,7081.0,6850.0,4297.0,761.0,7557.0,7527.0,5375.774193548387,2331.5698532630677
8,8090.0,8262.0,6942.0,3999.0,703.0,6653.0,6174.0,6199.0,6096.0,5483.0,3198.0,549.0,5500.0,5394.0,1901.0,5779.0,5703.0,3276.0,529.0,5677.0,5685.0,5689.0,5493.0,5614.0,3668.0,629.0,6022.0,5744.0,6019.0,5776.0,5551.0,4903.129032258064,2111.0286393436336
9,3831.0,716.0,6444.0,6100.0,6710.0,6367.0,6245.0,3917.0,767.0,6420.0,6175.0,6062.0,6009.0,6150.0,3808.0,753.0,6296.0,5820.0,5842.0,6320.0,6509.0,4037.0,731.0,5772.0,5439.0,5503.0,5486.0,5410.0,3985.0,792.0,,4813.866666666667,2035.4444525803765
10,6157.0,6044.0,6155.0,6274.0,6163.0,3950.0,683.0,6981.0,6130.0,6659.0,5951.0,5586.0,3806.0,794.0,6150.0,5696.0,5887.0,5471.0,5494.0,3474.0,663.0,5394.0,5301.0,5152.0,5204.0,5036.0,3565.0,764.0,5592.0,5517.0,5184.0,4867.0,1820.3524017801242
11,1819.0,5247.0,3482.0,634.0,6271.0,5655.0,5653.0,5299.0,5534.0,3706.0,746.0,6548.0,5829.0,6002.0,5546.0,5361.0,3229.0,694.0,6563.0,6983.0,7392.0,7759.0,13297.0,11867.0,5691.0,14063.0,12540.0,11475.0,10487.0,9615.0,,6499.566666666667,3626.5232774117408
12,4961.0,1129.0,7474.0,8659.0,7573.0,7366.0,7301.0,4404.0,1374.0,7969.0,7622.0,8028.0,7227.0,7132.0,4960.0,1519.0,8300.0,7797.0,8251.0,8441.0,7774.0,4960.0,1816.0,4566.0,0.0,5729.0,5806.0,5455.0,3647.0,792.0,3183.0,5523.064516129032,2657.600370453063
1,0.0,6240.0,6132.0,6430.0,4036.0,642.0,6104.0,5753.0,6550.0,6785.0,7015.0,5469.0,1345.0,7594.0,7419.0,7664.0,6902.0,6666.0,4608.0,1006.0,6820.0,6849.0,7231.0,6150.0,6581.0,4696.0,910.0,7020.0,6290.0,6801.0,6272.0,5483.225806451613,2256.057028086501
2,6343.0,4164.0,933.0,6799.0,6662.0,6404.0,6064.0,5990.0,3977.0,738.0,7128.0,6603.0,6562.0,5754.0,5840.0,3704.0,722.0,5933.0,5751.0,5663.0,5095.0,4703.0,3133.0,584.0,5108.0,4838.0,4927.0,4549.0,,,,4809.678571428572,1956.182697170434
3,4537.0,2971.0,609.0,5054.0,4731.0,5121.0,4684.0,4895.0,3336.0,782.0,5437.0,4768.0,5212.0,4930.0,4789.0,2997.0,563.0,4993.0,4624.0,4789.0,4388.0,4246.0,2786.0,547.0,4797.0,4339.0,4560.0,4111.0,4406.0,2895.0,696.0,3793.3225806451615,1569.5392399702698
4,4607.0,4614.0,4607.0,4534.0,4557.0,3221.0,854.0,5363.0,4816.0,5059.0,4574.0,4562.0,2992.0,587.0,5052.0,4896.0,4942.0,4774.0,4238.0,2569.0,376.0,1070.0,5081.0,4685.0,4454.0,4625.0,3290.0,646.0,5156.0,4887.0,,3856.266666666667,1574.3463434693786
5,0.0,5866.0,5080.0,3482.0,583.0,5406.0,5174.0,2256.0,5918.0,5365.0,3419.0,655.0,5384.0,5208.0,5298.0,5192.0,5309.0,3707.0,681.0,5926.0,5770.0,5062.0,4934.0,5113.0,3549.0,631.0,5116.0,5075.0,4956.0,1888.0,4342.0,4075.6451612903224,1868.183387650279
6,2718.0,601.0,5321.0,4884.0,5270.0,4955.0,4814.0,3194.0,571.0,2201.0,5989.0,6024.0,5851.0,6219.0,4168.0,743.0,6211.0,5960.0,5651.0,5377.0,5345.0,3744.0,706.0,6782.0,6565.0,7224.0,7669.0,8066.0,5399.0,1069.0,,4643.033333333334,2201.2617774003343
7,7946.0,7251.0,7968.0,8392.0,7517.0,4972.0,1005.0,7673.0,7785.0,8065.0,7611.0,6936.0,4271.0,1112.0,8325.0,7113.0,7163.0,6889.0,6488.0,4033.0,718.0,7149.0,6962.0,6753.0,6669.0,6594.0,3885.0,605.0,6738.0,6156.0,6014.0,6024.451612903225,2326.6174852305753
8,5654.0,5158.0,3599.0,750.0,6439.0,5900.0,5628.0,5784.0,5907.0,3541.0,562.0,6226.0,6240.0,6102.0,1946.0,5522.0,3141.0,599.0,6801.0,6608.0,6720.0,6596.0,5666.0,3307.0,678.0,6346.0,6090.0,6337.0,6060.0,5769.0,4016.0,4828.774193548387,2029.6155910200898
9,801.0,6078.0,5628.0,5934.0,7443.0,5836.0,3975.0,707.0,6958.0,6505.0,5857.0,5618.0,5692.0,3676.0,870.0,6522.0,6055.0,6152.0,5534.0,5467.0,3454.0,715.0,5859.0,5668.0,5382.0,5033.0,5313.0,3444.0,749.0,5854.0,,4759.3,2031.0995009498233
10,5667.0,6399.0,6823.0,6344.0,3780.0,858.0,5869.0,5952.0,5502.0,5471.0,5258.0,3479.0,647.0,5410.0,5150.0,5192.0,5038.0,5466.0,3625.0,853.0,5635.0,5434.0,5548.0,5213.0,4921.0,3163.0,712.0,5401.0,5063.0,5268.0,5003.0,4649.806451612903,1715.7549440281352
11,1955.0,3219.0,703.0,5946.0,5356.0,5640.0,5436.0,5161.0,3686.0,662.0,2030.0,5777.0,5825.0,5802.0,6026.0,4113.0,771.0,5702.0,5374.0,5463.0,5294.0,5381.0,3601.0,725.0,6488.0,6558.0,7242.0,7570.0,10098.0,6712.0,,4810.533333333334,2266.705884718194
12,2172.0,9343.0,9873.0,9372.0,8831.0,10340.0,6847.0,1996.0,10240.0,9282.0,11052.0,8038.0,9610.0,5883.0,1687.0,9397.0,9101.0,8862.0,10471.0,10279.0,7080.0,2011.0,7796.0,5705.0,0.0,6348.0,5968.0,3952.0,868.0,5520.0,4051.0,6837.903225806452,3280.3880904027064
Season_mean,3866.5,5197.388888888889,5200.638888888889,5454.222222222223,5352.5,5460.777777777777,5195.75,4726.388888888889,5257.388888888889,5014.333333333333,5379.472222222223,5416.805555555556,5534.527777777777,5041.666666666667,4736.638888888889,5204.472222222223,4986.138888888889,5341.722222222223,5398.25,5527.888888888889,5150.611111111111,4870.861111111111,5229.444444444444,5102.666666666667,4527.916666666667,5278.944444444444,5444.805555555556,5251.111111111111,5132.515151515152,5141.212121212121,5101.047619047619,,
Season_std,2771.401125784573,2316.344068666062,2310.561257144219,2404.9344762218857,2333.0812305985896,2186.06156116573,2113.6085916203665,2260.501287992527,2167.7804485269885,2370.0365518579783,2631.4533788233134,2288.5555496793727,2141.8856910423733,2108.831009960597,2306.1771354687244,2146.1859257244646,2356.195179312587,2402.024284534206,2441.1794851201394,2366.5058362522313,2329.4989194831182,2250.629323453176,2435.8884732204497,2536.0067147274785,2358.57746927495,2470.2060289370247,2389.666166995411,2393.657330503474,2610.8495877924024,2383.9729019744514,1895.0342602757996,,
